iter	Passed	Remaining
297	2010	4736
298	2016	4727
299	2023	4721
300	2029	4712
301	2034	4702
302	2041	4695
303	2046	4686
304	2052	4676
305	2059	4671
306	2066	4664
307	2073	4658
308	2079	4651
309	2085	4642
310	2093	4637
311	2099	4629
312	2105	4622
313	2111	4613
314	2117	4604
315	2124	4599
316	2132	4595
317	2139	4588
318	2147	4583
319	2153	4575
320	2161	4571
321	2168	4566
322	2176	4561
323	2183	4556
324	2191	4550
325	2198	4544
326	2205	4538
327	2211	4531
328	2218	4524
329	2225	4517
330	2232	4511
331	2238	4503
332	2245	4497
333	2251	4489
334	2258	4483
335	2264	4475
336	2272	4470
337	2279	4463
338	2285	4456
339	2292	4450
340	2298	4442
341	2306	4436
342	2312	4429
343	2319	4423
344	2324	4414
345	2330	4405
346	2337	4398
347	2343	4390
348	2349	4382
349	2355	4374
350	2361	4365
351	2366	4356
352	2372	4348
353	2378	4340
354	2385	4334
355	2391	4325
356	2396	4316
357	2402	4308
358	2408	4300
359	2414	4291
360	2420	4284
361	2427	4277
362	2432	4269
363	2439	4263
364	2445	4254
365	2453	4249
366	2459	4241
367	2465	4234
368	2472	4227
369	2478	4220
370	2485	4213
371	2491	4205
372	2497	4197
373	2503	4190
374	2509	4182
375	2515	4175
376	2521	4167
377	2527	4159
378	2534	4152
379	2540	4145
380	2546	4137
381	2552	4129
382	2558	4121
383	2564	4114
384	2571	4107
385	2578	4101
386	2586	4097
387	2592	4089
388	2599	4082
389	2604	4074
390	2610	4066
391	2617	4059
392	2622	4050
393	2629	4043
394	2635	4036
395	2641	4029
396	2649	4023
397	2655	4016
398	2661	4008
399	2668	4003
400	2674	3995
401	2682	3990
402	2688	3982
403	2694	3975
404	2701	3968
405	2706	3960
406	2714	3954
407	2720	3946
408	2727	3940
409	2733	3933
410	2739	3926
411	2746	3919
412	2752	3912
413	2758	3905
414	2764	3897
